smiles,ligand_id,activity_label
COC(=O)C(C)Sc1nc2N(C)C(=O)NC(=O)c2n1CCC(C)C,842249,active
CN1C(=O)NC(=O)c2c1nc(N3CCCCCC3)n2Cc4ccc(C)cc4,842662,active
Cn1c(NCc2ccccc2)[nH+]cc1c3ccc(F)cc3,842840,active
COC(=O)c1cc(on1)c2ccc(OC)c(OC)c2,843110,active
CCn1c(SCC(=O)N2CCCC2)nc3N(C)C(=O)N(C)C(=O)c13,843993,active
CC(C)C([NH+]1CCN(CC1)c2nc3ccccc3s2)c4nnnn4Cc5occc5,844054,active
COc1ccc(cc1S(=O)(=O)N2CCOCC2)C(=O)Nc3ccc(cc3)c4oc(C)cc4,844117,active
Cc1ccc(SCCNC(=O)CN2C(=O)c3ccccc3S2(=O)=O)cc1,844434,active
C(Nc1ncnc2ccccc12)c3ccccc3,844482,active
CCCCn1c(SCC(=O)OC)nc2N(C)C(=O)N(C)C(=O)c12,844847,active
CC(=C)CSC1=C(C#N)C(CC(=O)N1)c2ccccc2Cl,844849,active
Cn1cc(cc1c2nc3ccccc3n2C)C(=O)c4ccc(F)cc4,845375,active
O=C(Nc1ccc(cc1)S(=O)(=O)N2CCCC2)c3ccc(C[NH+]4CCOCC4)cc3,845384,active
C=CS(=O)(=O)c1ccc(Oc2ccc(cc2)S(=O)(=O)C=C)cc1,845529,active
CC(C)Sc1nc2N(C)C(=O)NC(=O)c2n1C\C=C(\C)/Cl,846747,active
CCSC1=NC(=O)C(=C2C=Cc3ccccc3N2CC)S1,846972,active
Cc1cccc(N2CC[NH+](CC(=O)NCC3CCCCC3)CC2)c1C,847082,active
Cc1cccc2cc(CN(Cc3occc3)S(=O)(=O)c4ccc5OCCOc5c4)c(O)nc12,847263,active
CCOc1nc(NCC=C)nc(NCc2occc2)n1,847487,active
O=C(C1CCN(CC1)S(=O)(=O)c2ccc3ccccc3c2)N4CCN(CC4)c5ncccn5,847543,active
COc1ccc(cc1)N2C(=O)C(=C([NH+](CCO)Cc3ccccc3)C2=O)Cl,847705,active
COc1ccc(OC)c(Nc2cc(nc(N)n2)c3ccccc3)c1,847709,active
COc1ccc(cc1OC)S(=O)(=O)c2ccc(OC)c(OC)c2,848054,active
Cc1nc2ncnn2c(Nc3ccc4OCOc4c3)c1Cc5ccccc5,848104,active
OC(CNc1nc2ccccc2s1)c3ccccc3,848222,active
CCCCCCSC1=C(C#N)C(CC(=O)N1)c2ccc(O)cc2,849007,active
CN(CCCC(=O)N1CCN(CC1)c2ccccn2)S(=O)(=O)c3ccc(C)cc3,849203,active
CC(C)C1C(=C([NH3+])Oc2[nH]nc(c3cccs3)c12)C#N,849843,active
CCOC(=O)c1cccc(NC(=O)CSc2nc3cccnc3n2C)c1,850065,active
CN(C)c1ccc(NC(=O)C[NH+]2CCC(CC2)C(=O)c3ccc(C)cc3)cc1,850353,active
Cc1cc(C)c2cc(CN(CCO)C(=O)Nc3ccc(Cl)cc3)c(O)nc2c1,850638,active
OC1(CCN(CC1)S(=O)(=O)c2ccccc2Cl)c3ccc4OCOc4c3,851145,active
CCOC(=O)c1cnc(SCC(=O)NCc2occc2)nc1N,851214,active
