ligand_id,activity_label,canonical_smiles,inchikey,pdb_id,unidock_best_score,CNNscore,CNNaffinity,CNN_VS,gnina_affinity,heavy_atoms,mol_wt,logp,is_active,ligand_efficiency,out_of_range_cnnscore,suspicious_cnnaffinity_extreme,positive_gnina_affinity,extreme_positive_gnina_affinity,suspicious_unidock_extreme_negative,extreme_unidock_negative,suspicious_unidock_positive,suspicious_ligand_efficiency_extreme,anomaly_flags,has_any_score_anomaly,rankscore_unidock_best,pct_unidock_best,rankscore_gnina_cnnscore,pct_gnina_cnnscore,rankscore_gnina_cnnaffinity,pct_gnina_cnnaffinity,rankscore_gnina_cnn_vs,pct_gnina_cnn_vs,rankscore_gnina_affinity,pct_gnina_affinity,fusion_unidock_cnnscore,fusion_unidock_cnnaffinity,fusion_cnnscore_cnnaffinity,fusion_unidock_cnnscore_cnnaffinity
845008,inactive,O=C(C1Cc2ccccc2CN1S(=O)(=O)c1ccc(F)cc1)N1CCCCCC1,OBSVLXUYRICTAK-UHFFFAOYSA-N,4ZZN,-29.196,0.02232,4.10052,0.0915236064,14.11996,29.0,,,0,-1.0067586206896553,False,False,True,False,True,True,False,True,positive_gnina_affinity;suspicious_unidock_extreme_negative;extreme_unidock_negative;suspicious_ligand_efficiency_extreme,True,29.196,1.0,0.02232,0.023791324288171222,4.10052,0.10777756545002866,0.0915236064,0.018536212497611313,-14.11996,0.005732849226065355,0.5118956621440857,0.5538887827250143,0.06578444486909994,0.3771896299127333
4255873,inactive,O=C(N1CCOCC1)N1c2ccccc2CC([NH+]2CCOCC2)c2ccccc21,JHUJWKJQQBFNPJ-UHFFFAOYSA-O,4QTA,-19.468,0.11851,3.67914,0.4360148814,6.20538,29.0,,,0,-0.6713103448275862,False,False,True,False,True,False,False,False,positive_gnina_affinity;suspicious_unidock_extreme_negative,True,19.468,0.9998089050257978,0.11851,0.36632906554557615,3.67914,0.03573476017580737,0.4360148814,0.2681062488056564,-6.20538,0.020829352188037456,0.6830689852856869,0.5177718326008026,0.20103191286069177,0.4672909102490604
4257919,inactive,CCN(CC(=O)N1CCCCCC1)S(=O)(=O)c1ccc(Cl)cc1,ZWKIVRIAFHQNAD-UHFFFAOYSA-N,4QTA,-19.258,0.15459,3.7235,0.5756158650000001,1.87858,23.0,,,0,-0.8373043478260869,False,False,True,False,True,False,False,True,positive_gnina_affinity;suspicious_unidock_extreme_negative;suspicious_ligand_efficiency_extreme,True,19.258,0.9996178100515957,0.15459,0.46665392700171987,3.7235,0.042231989298681445,0.5756158650000001,0.3577297917064781,-1.87858,0.04930250334416205,0.7331358685266578,0.5209248996751386,0.2544429581502007,0.5028345754506657
4246757,inactive,CC1(C)CC(=O)N(CC(=O)[O-])c2ccccc2S1,AKBNVAXNPUUJJF-UHFFFAOYSA-M,4QTA,-16.321,0.74069,4.06679,3.0122306851,-0.46052,18.0,,,0,-0.9067222222222223,False,False,False,False,True,False,False,True,suspicious_unidock_extreme_negative;suspicious_ligand_efficiency_extreme,True,16.321,0.9994267150773934,0.74069,0.9577680107013186,4.06679,0.09994267150773935,3.0122306851,0.8817122109688516,0.46052,0.06955857060959297,0.9785973628893561,0.5496846932925664,0.5288553411045289,0.6857124657621504
7978210,inactive,O=C(NC1CCCCCC1)c1c(F)c(F)c(F)c(F)c1F,JMORWYMLHJSFMP-UHFFFAOYSA-N,6SLG,-14.009,0.22173,4.70215,1.0426077195,22.49736,21.0,,,0,-0.6670952380952381,False,False,True,True,False,False,False,False,positive_gnina_affinity;extreme_positive_gnina_affinity,True,14.009,0.9992356201031913,0.22173,0.5971717943818078,4.70215,0.3151156124593923,1.0426077195,0.5600993693865851,-22.49736,0.0032486145614370344,0.7982037072424996,0.6571756162812918,0.45614370342060007,0.6371743423147972
4254547,inactive,Cc1ccc(S(=O)(=O)NC(C)C(=O)NC2CCCCCC2)cc1,MPXCHMNKTCTBCQ-UHFFFAOYSA-N,8AOJ,-13.348,0.00142,2.84629,0.0040417318,31.58362,23.0,,,0,-0.5803478260869566,False,False,True,True,False,False,False,False,positive_gnina_affinity;extreme_positive_gnina_affinity,True,13.348,0.9990445251289891,0.00142,0.00038218994840435696,2.84629,0.0009554748710108924,0.0040417318,0.00038218994840435696,-31.58362,0.0024842346646283204,0.4997133575386967,0.5,0.0006688324097076247,0.33346072998280146
3715870,inactive,Cc1cc(NC(=O)c2cccc(S(=O)(=O)N3CCCCCC3)c2)n(-c2ccccn2)n1,CLTIJOXTKDYRSE-UHFFFAOYSA-N,4QTA,-12.474,0.07419,3.71107,0.2753242833,19.84075,31.0,,,0,-0.40238709677419354,False,False,True,False,False,False,False,False,positive_gnina_affinity,True,12.474,0.9988534301547869,0.07419,0.21708389069367476,3.71107,0.04070322950506402,0.2753242833,0.15688897381998854,-19.84075,0.004012994458245748,0.6079686604242308,0.5197783298299254,0.1288935600993694,0.4188801834511752
4265668,active,OC1=C2C(=Nc3ccccc3SC2c2ccc3c(c2)OCO3)CO1,UVBVZIZPWRFCLJ-UHFFFAOYSA-N,4QTA,-11.95,0.35173,3.53677,1.2439881121,-0.93519,24.0,,,1,-0.4979166666666666,False,False,False,False,False,False,False,False,,False,11.95,0.9986623351805848,0.35173,0.7443149245174852,3.53677,0.022167017007452702,1.2439881121,0.6181922415440474,0.93519,0.07529141983565832,0.871488629849035,0.5104146760940187,0.38324097076246894,0.5883814255685075
7967696,inactive,COCCNC(=O)CN1C(=O)CC(C)(C)S(=O)(=O)c2ccccc21,OOFDJCZWEDLARK-UHFFFAOYSA-N,4ZZN,-11.427,0.10325,3.82023,0.3944387474999999,4.38376,24.0,,,0,-0.47612499999999996,False,False,True,False,False,False,False,False,positive_gnina_affinity,True,11.427,0.9984712402063826,0.10325,0.3133957576915727,3.82023,0.0523600229313969,0.3944387474999999,0.24498375692719282,-4.38376,0.0301930059239442,0.6559334989489776,0.5254156315688897,0.1828778903114848,0.4547423402764507
860727,inactive,O=c1c2c3nc4ccccc4nc3n(-c3ccc4c(c3)OCCO4)c2ncn1CC1CCCO1,KEGPBQFFDMNGBD-UHFFFAOYSA-N,4QTA,-11.264,0.18154,7.12287,1.2930858198,-11.51614,34.0,,,0,-0.3312941176470588,False,False,False,False,False,False,False,False,,False,11.264,0.9982801452321803,0.18154,0.5228358494171603,7.12287,0.9957959105675521,1.2930858198,0.6327154595834129,11.51614,0.9998089050257978,0.7605579973246703,0.9970380278998663,0.7593158799923563,0.8389706350722976
